sample,model,sim,nsim,inner,outer,fiber,master_fiber_index,fiberset_index,waveform_index,active_src_index,nerve_label,threshold,apnode,aptime,long_ap_pos,n_ap_sites,peak_second_diff,peak_second_diff_node,peri_thk,type,contact,pulse_width,fiber_diam
252,0,3,0,5,3,0,0,0,0,0,2L,3.126208,103,1.468,29140.378360365048,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,1,1,0,0,0,2L,3.138428,103,1.431,29150.166431318088,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,2,2,0,0,0,2L,3.126208,103,1.428,29240.1275149325,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,3,3,0,0,0,2L,3.169897,103,1.455,29155.932382036524,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,4,4,0,0,0,2L,3.138428,103,1.572,29097.888980614687,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,5,5,0,0,0,2L,3.143005,103,1.524,29136.384232468066,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,6,6,0,0,0,2L,3.169897,103,1.45,28995.29566941276,0,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,7,7,0,0,0,2L,3.089547,103,1.434,29219.034129097126,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,8,8,0,0,0,2L,3.052885,103,1.484,29084.084506848692,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,9,9,0,0,0,2L,3.028445,103,1.424,29170.537906470636,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,10,10,0,0,0,2L,3.156451,103,1.481,29220.444857980303,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,11,11,0,0,0,2L,3.089547,103,1.424,29219.48349060233,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,12,12,0,0,0,2L,3.101767,103,1.461,29194.570515125677,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,13,13,0,0,0,2L,3.101767,103,1.534,29126.129559200075,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,14,14,0,0,0,2L,3.065106,104,1.475,29248.288400013174,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,15,15,0,0,0,2L,2.979563,103,1.425,29150.286402509875,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,16,16,0,0,0,2L,3.040665,104,1.455,29293.633257478312,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,5,3,17,17,0,0,0,2L,3.004004,103,1.451,29145.301016326972,1,,,35.35557263576618,2D,cathodic,,
252,0,3,0,6,4,0,18,0,0,0,2L,2.553371,101,1.549,28652.1692083377,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,1,19,0,0,0,2L,2.523093,102,1.431,28689.51426577094,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,2,20,0,0,0,2L,2.573557,101,1.46,28536.909453184147,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,3,21,0,0,0,2L,2.563464,101,1.42,28589.57426291229,1,,,31.005835457986624,2D,cathodic,,
252,0,3,0,6,4,4,22,0,0,0,2L,2.533186,101,1.416,28603.46256711043,1,,,31.005835457986624,2D,cathodic,,
